adjustment,method,method_label,Vcem_fraction,Vcem_percent,lnCn_profile,lnCn_predicted,log_coordinate_error,coordinate_ratio,local_tangent_at_reference,reference_beta,tangent_difference
raw,factored_log_log,log contact + log HS (current),0.001,0.1,2.43256094691116,2.4146883635587173,0.017872583352442906,1.0180332537412635,20.271560301147414,20.271560299724396,1.4230181477614678e-09
raw,factored_log_log,log contact + log HS (current),0.0024749999999999,0.24749999999999,2.1543050717361822,2.1459705507403313,0.00833452099585097,1.0083693498092166,20.271560301147414,20.271560299724396,1.4230181477614678e-09
raw,factored_log_log,log contact + log HS (current),0.00395,0.395,2.014532775406124,2.010049524683891,0.004483250722233212,1.0044933155261444,20.271560301147414,20.271560299724396,1.4230181477614678e-09
raw,factored_log_log,log contact + log HS (current),0.005425,0.5425,1.9220441692396804,1.919593510437157,0.0024506588025232645,1.0024536641213087,20.271560301147414,20.271560299724396,1.4230181477614678e-09
raw,factored_log_log,log contact + log HS (current),0.0069,0.69,1.8536794184375756,1.8523986869732163,0.0012807314643592527,1.0012815519511382,20.271560301147414,20.271560299724396,1.4230181477614678e-09
raw,factored_log_log,log contact + log HS (current),0.008375,0.8375,1.7999767620184195,1.7993792534167015,0.0005975086017180331,1.0005976871455413,20.271560301147414,20.271560299724396,1.4230181477614678e-09
raw,factored_log_log,log contact + log HS (current),0.00985,0.985,1.7561337755210409,1.7559161077602363,0.00021766776080456296,1.0002176914521506,20.271560301147414,20.271560299724396,1.4230181477614678e-09
raw,factored_log_log,log contact + log HS (current),0.0113249999999999,1.1324999999999898,1.7193768101030475,1.7193372949121033,3.951519094425038e-05,1.0000395159716797,20.271560301147414,20.271560299724396,1.4230181477614678e-09
raw,factored_log_log,log contact + log HS (current),0.012546045825196,1.2546045825196002,1.6930438447489806,1.693043841663064,3.08591663333857e-09,1.0000000030859166,20.271560301147414,20.271560299724396,1.4230181477614678e-09
raw,factored_log_log,log contact + log HS (current),0.0127999999999999,1.27999999999999,1.687958818884537,1.6879572854467548,1.5334377820863665e-06,1.0000015334389578,20.271560301147414,20.271560299724396,1.4230181477614678e-09
